Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
183,1.89583,00:34:40.12:03,961.2985,980.9145,-296.913
184,1.90625,00:34:40.13:00,961.4789999999999,980.93,-296.976
185,1.91667,00:34:40.13:01,961.613,980.904,-297.0695
186,1.92708,00:34:40.13:02,961.8295,980.8555,-297.0945
187,1.9375,00:34:40.13:03,962.1160000000001,980.7585,-297.08
188,1.94792,00:34:40.14:00,962.3985,980.6265,-297.024
189,1.95833,00:34:40.14:01,962.695,980.493,-296.9525
190,1.96875,00:34:40.14:02,963.0925,980.3710000000001,-296.9465
191,1.97917,00:34:40.14:03,963.446,980.3115,-296.972
192,1.98958,00:34:40.15:00,963.7725,980.31,-296.9945
193,2.0,00:34:40.15:01,964.0360000000001,980.319,-296.9965
194,2.01042,00:34:40.15:02,964.2855,980.309,-296.987
195,2.02083,00:34:40.15:03,964.5139999999999,980.3430000000001,-296.953
196,2.03125,00:34:40.16:00,964.7489999999999,980.3539999999999,-296.8995
197,2.04167,00:34:40.16:01,965.0365,980.377,-296.8725
198,2.05208,00:34:40.16:02,965.3965,980.423,-296.9185
199,2.0625,00:34:40.16:03,965.8389999999999,980.459,-297.0305
200,2.07292,00:34:40.17:00,966.1635,980.5205,-297.159
201,2.08333,00:34:40.17:01,966.4385,980.534,-297.29400000000004
202,2.09375,00:34:40.17:02,966.6575,980.5285,-297.41
203,2.10417,00:34:40.17:03,966.8005,980.4995,-297.47700000000003
204,2.11458,00:34:40.18:00,966.9939999999999,980.44,-297.5675
205,2.125,00:34:40.18:01,967.275,980.387,-297.7085
206,2.13542,00:34:40.18:02,967.553,980.3365,-297.866
207,2.14583,00:34:40.18:03,967.935,980.255,-298.1045
208,2.15625,00:34:40.19:00,968.4055,980.2495,-298.4695
209,2.16667,00:34:40.19:01,968.977,980.245,-298.9895
210,2.17708,00:34:40.19:02,969.6460000000001,980.298,-299.6205
211,2.1875,00:34:40.19:03,970.297,980.383,-300.3225
212,2.19792,00:34:40.20:00,970.9475,980.5055,-301.1145
213,2.20833,00:34:40.20:01,971.6085,980.6635,-301.9945
214,2.21875,00:34:40.20:02,972.283,980.8525,-302.914
215,2.22917,00:34:40.20:03,972.9575,981.0425,-303.79900000000004
216,2.23958,00:34:40.21:00,973.6125,981.297,-304.6735
217,2.25,00:34:40.21:01,974.17,981.53,-305.53
218,2.26042,00:34:40.21:02,974.7665,981.795,-306.3245
219,2.27083,00:34:40.21:03,975.2965,982.0965,-307.005
220,2.28125,00:34:40.22:00,975.752,982.4119999999999,-307.561
221,2.29167,00:34:40.22:01,976.1375,982.706,-308.015
222,2.30208,00:34:40.22:02,976.5055,982.971,-308.387
223,2.3125,00:34:40.22:03,976.3765,983.1915,-308.711
224,2.32292,00:34:40.23:00,976.5835,983.4035,-308.8675
225,2.33333,00:34:40.23:01,976.73,983.582,-308.8975
226,2.34375,00:34:40.23:02,976.81,983.709,-308.844
227,2.35417,00:34:40.23:03,976.7935,983.797,-308.698
228,2.36458,00:34:40.24:00,976.802,983.852,-308.514
229,2.375,00:34:40.24:01,977.1160000000001,983.893,-308.1955
230,2.38542,00:34:40.24:02,976.9985,983.8795,-307.8905
231,2.39583,00:34:40.24:03,976.937,983.8465,-307.5985
232,2.40625,00:34:41.00:00,976.39,983.8125,-307.29
233,2.41667,00:34:41.00:01,976.6525,983.7810000000001,-306.932
234,2.42708,00:34:41.00:02,976.4630000000001,983.7639999999999,-306.631
235,2.4375,00:34:41.00:03,976.3595,983.7825,-306.3975
236,2.44792,00:34:41.01:00,976.186,983.7919999999999,-306.2185
237,2.45833,00:34:41.01:01,975.9730000000001,983.825,-306.08799999999997
238,2.46875,00:34:41.01:02,975.7660000000001,983.865,-306.0275
239,2.47917,00:34:41.01:03,975.5675,983.9275,-306.0375
240,2.48958,00:34:41.02:00,975.3739999999999,983.9935,-306.1165
241,2.5,00:34:41.02:01,975.2085,984.0935,-306.2485
242,2.51042,00:34:41.02:02,974.961,984.186,-306.41200000000003
243,2.52083,00:34:41.02:03,974.789,984.312,-306.6065
244,2.53125,00:34:41.03:00,974.65,984.4595,-306.83
245,2.54167,00:34:41.03:01,974.574,984.5935,-307.089
246,2.55208,00:34:41.03:02,974.498,984.753,-307.3125
247,2.5625,00:34:41.03:03,974.4135,984.9235,-307.493
248,2.57292,00:34:41.04:00,974.362,985.082,-307.7345
249,2.58333,00:34:41.04:01,974.2635,985.221,-307.9345
250,2.59375,00:34:41.04:02,974.2515,985.3939999999999,-308.0995
251,2.60417,00:34:41.04:03,974.1735,985.5475,-308.2325
252,2.61458,00:34:41.05:00,974.168,985.7065,-308.334
253,2.625,00:34:41.05:01,974.2410000000001,985.885,-308.444
254,2.63542,00:34:41.05:02,974.283,986.0435,-308.5375
255,2.64583,00:34:41.05:03,974.2875,986.2065,-308.596
256,2.65625,00:34:41.06:00,974.3235,986.347,-308.659
257,2.66667,00:34:41.06:01,974.342,986.4780000000001,-308.70599999999996
258,2.67708,00:34:41.06:02,974.3530000000001,986.572,-308.75
259,2.6875,00:34:41.06:03,974.3710000000001,986.6669999999999,-308.788
260,2.69792,00:34:41.07:00,974.4069999999999,986.732,-308.822
261,2.70833,00:34:41.07:01,974.3845,986.7915,-308.8305
262,2.71875,00:34:41.07:02,974.4005,986.831,-308.837
263,2.72917,00:34:41.07:03,974.3910000000001,986.8575,-308.832
264,2.73958,00:34:41.08:00,974.3735,986.8610000000001,-308.817
265,2.75,00:34:41.08:01,974.37,986.8660000000001,-308.7875
266,2.76042,00:34:41.08:02,974.3480000000001,986.8585,-308.753
267,2.77083,00:34:41.08:03,974.3495,986.828,-308.707
268,2.78125,00:34:41.09:00,974.3525,986.802,-308.654
269,2.79167,00:34:41.09:01,974.3295,986.7535,-308.584
270,2.80208,00:34:41.09:02,974.3085,986.7130000000001,-308.501
271,2.8125,00:34:41.09:03,974.311,986.6755,-308.4095
272,2.82292,00:34:41.10:00,974.342,986.632,-308.33799999999997
273,2.83333,00:34:41.10:01,974.3555,986.562,-308.2815
274,2.84375,00:34:41.10:02,974.3689999999999,986.4860000000001,-308.21
275,2.85417,00:34:41.10:03,974.421,986.375,-308.154
276,2.86458,00:34:41.11:00,974.428,986.288,-308.107
277,2.875,00:34:41.11:01,974.4715,986.1975,-308.066
278,2.88542,00:34:41.11:02,974.5215,986.1210000000001,-307.996
279,2.89583,00:34:41.11:03,974.518,986.0155,-307.936
280,2.90625,00:34:41.12:00,974.5305,985.909,-307.846
281,2.91667,00:34:41.12:01,974.5015,985.8155,-307.775
282,2.92708,00:34:41.12:02,974.574,985.72,-307.71299999999997
283,2.9375,00:34:41.12:03,974.6089999999999,985.6195,-307.651
284,2.94792,00:34:41.13:00,974.6055,985.508,-307.591
285,2.95833,00:34:41.13:01,974.6345,985.363,-307.526
286,2.96875,00:34:41.13:02,974.7115,985.242,-307.478
287,2.97917,00:34:41.13:03,974.748,985.09,-307.415
288,2.98958,00:34:41.14:00,974.802,984.9225,-307.35200000000003
289,3.0,00:34:41.14:01,974.8585,984.7260000000001,-307.297
290,3.01042,00:34:41.14:02,974.887,984.5395,-307.2095
291,3.02083,00:34:41.14:03,974.9425,984.3639999999999,-307.10400000000004
292,3.03125,00:34:41.15:00,974.959,984.1619999999999,-306.98900000000003
293,3.04167,00:34:41.15:01,974.966,983.9385,-306.8555
294,3.05208,00:34:41.15:02,975.0165,983.7375,-306.7255
295,3.0625,00:34:41.15:03,975.0315,983.5169999999999,-306.5395
296,3.07292,00:34:41.16:00,974.9685,983.28,-306.3255
297,3.08333,00:34:41.16:01,974.966,982.9935,-306.131
298,3.09375,00:34:41.16:02,974.97,982.758,-305.944
299,3.10417,00:34:41.16:03,974.965,982.513,-305.7095
300,3.11458,00:34:41.17:00,974.9055,982.263,-305.4605
301,3.125,00:34:41.17:01,974.93,982.0275,-305.2495
302,3.13542,00:34:41.17:02,974.8705,981.785,-305.0025
303,3.14583,00:34:41.17:03,974.85,981.5575,-304.767
304,3.15625,00:34:41.18:00,974.862,981.3595,-304.563
305,3.16667,00:34:41.18:01,974.7775,981.175,-304.346
306,3.17708,00:34:41.18:02,974.7,981.0205,-304.154
307,3.1875,00:34:41.18:03,974.613,980.8825,-303.9835
308,3.19792,00:34:41.19:00,974.58,980.7955,-303.8565
309,3.20833,00:34:41.19:01,974.4730000000001,980.7080000000001,-303.743
310,3.21875,00:34:41.19:02,974.3535,980.6275,-303.629
311,3.22917,00:34:41.19:03,974.2860000000001,980.567,-303.54
312,3.23958,00:34:41.20:00,974.2135,980.5110000000001,-303.4715
313,3.25,00:34:41.20:01,974.176,980.434,-303.41900000000004
314,3.26042,00:34:41.20:02,974.164,980.362,-303.375
315,3.27083,00:34:41.20:03,974.187,980.2589999999999,-303.35
316,3.28125,00:34:41.21:00,974.2045,980.1205,-303.3025
317,3.29167,00:34:41.21:01,974.245,980.012,-303.259
318,3.30208,00:34:41.21:02,974.3295,979.8965,-303.205
319,3.3125,00:34:41.21:03,974.398,979.797,-303.159
320,3.32292,00:34:41.22:00,974.429,979.6905,-303.08799999999997
321,3.33333,00:34:41.22:01,974.5025,979.582,-303.01099999999997
322,3.34375,00:34:41.22:02,974.528,979.4915,-302.92
323,3.35417,00:34:41.22:03,974.597,979.4235,-302.8245
324,3.36458,00:34:41.23:00,974.6535,979.367,-302.7525
325,3.375,00:34:41.23:01,974.669,979.3135,-302.677
326,3.38542,00:34:41.23:02,974.7465,979.2985,-302.606
327,3.39583,00:34:41.23:03,974.7555,979.2639999999999,-302.545
328,3.40625,00:34:41.24:00,974.8215,979.2310000000001,-302.5
329,3.41667,00:34:41.24:01,974.8415,979.193,-302.462
330,3.42708,00:34:41.24:02,974.8635,979.1460000000001,-302.4385
331,3.4375,00:34:41.24:03,974.89,979.1110000000001,-302.433
332,3.44792,00:34:42.00:00,974.904,979.0615,-302.422
333,3.45833,00:34:42.00:01,974.8960000000001,979.029,-302.4215
334,3.46875,00:34:42.00:02,974.868,978.975,-302.415
335,3.47917,00:34:42.00:03,974.8539999999999,978.9045,-302.4005
336,3.48958,00:34:42.01:00,974.7815,978.8330000000001,-302.3775
337,3.5,00:34:42.01:01,974.75,978.7710000000001,-302.3475
338,3.51042,00:34:42.01:02,974.6695,978.696,-302.3065
339,3.52083,00:34:42.01:03,974.5925,978.6305,-302.241
340,3.53125,00:34:42.02:00,974.5455,978.564,-302.176
341,3.54167,00:34:42.02:01,974.5195,978.4960000000001,-302.1055
342,3.55208,00:34:42.02:02,974.5089999999999,978.4505,-302.0325
343,3.5625,00:34:42.02:03,974.538,978.4005,-301.9635
344,3.57292,00:34:42.03:00,974.6095,978.37,-301.91900000000004
345,3.58333,00:34:42.03:01,974.6569999999999,978.3255,-301.8725
346,3.59375,00:34:42.03:02,974.7465,978.3035,-301.8385
347,3.60417,00:34:42.03:03,974.8025,978.275,-301.8205
348,3.61458,00:34:42.04:00,974.9055,978.2485,-301.8205
349,3.625,00:34:42.04:01,974.9625,978.225,-301.818
350,3.63542,00:34:42.04:02,975.0189999999999,978.2230000000001,-301.8235
351,3.64583,00:34:42.04:03,975.0955,978.2105,-301.85400000000004
352,3.65625,00:34:42.05:00,975.1885,978.2145,-301.894
353,3.66667,00:34:42.05:01,975.205,978.2180000000001,-301.9395
354,3.67708,00:34:42.05:02,975.2685,978.22,-301.9935
355,3.6875,00:34:42.05:03,975.2719999999999,978.195,-302.047
356,3.69792,00:34:42.06:00,975.3065,978.2005,-302.1145
357,3.70833,00:34:42.06:01,975.3125,978.193,-302.181
358,3.71875,00:34:42.06:02,975.2985,978.1925,-302.2535
359,3.72917,00:34:42.06:03,975.2815,978.184,-302.32099999999997
360,3.73958,00:34:42.07:00,975.189,978.1735,-302.381
361,3.75,00:34:42.07:01,975.13,978.1535,-302.4445
362,3.76042,00:34:42.07:02,975.0705,978.1210000000001,-302.507
363,3.77083,00:34:42.07:03,975.013,978.0985,-302.5625
364,3.78125,00:34:42.08:00,974.934,978.064,-302.6035
365,3.79167,00:34:42.08:01,974.8895,978.0095,-302.6525
366,3.80208,00:34:42.08:02,974.8145,977.951,-302.6865
367,3.8125,00:34:42.08:03,974.7935,977.903,-302.7205
368,3.82292,00:34:42.09:00,974.796,977.8389999999999,-302.7495
369,3.83333,00:34:42.09:01,974.793,977.783,-302.7885
370,3.84375,00:34:42.09:02,974.8105,977.7445,-302.83099999999996
371,3.85417,00:34:42.09:03,974.828,977.711,-302.8735
372,3.86458,00:34:42.10:00,974.8275,977.687,-302.9215
373,3.875,00:34:42.10:01,974.85,977.6695,-302.9825
374,3.88542,00:34:42.10:02,974.885,977.6569999999999,-303.0335
375,3.89583,00:34:42.10:03,974.873,977.6315,-303.0895
376,3.90625,00:34:42.11:00,974.94,977.6260000000001,-303.1485
377,3.91667,00:34:42.11:01,974.957,977.5945,-303.1885
378,3.92708,00:34:42.11:02,974.9565,977.581,-303.2205
379,3.9375,00:34:42.11:03,974.993,977.558,-303.244
380,3.94792,00:34:42.12:00,974.9835,977.552,-303.264
381,3.95833,00:34:42.12:01,975.0010000000001,977.5310000000001,-303.263
382,3.96875,00:34:42.12:02,975.0015,977.488,-303.2625
383,3.97917,00:34:42.12:03,975.0145,977.435,-303.26
384,3.98958,00:34:42.13:00,974.9955,977.388,-303.26
385,4.0,00:34:42.13:01,974.9805,977.324,-303.2455
386,4.01042,00:34:42.13:02,974.9475,977.2815,-303.2285
387,4.02083,00:34:42.13:03,974.946,977.2375,-303.207
388,4.03125,00:34:42.14:00,974.8875,977.201,-303.1845
389,4.04167,00:34:42.14:01,974.8705,977.1765,-303.1575
390,4.05208,00:34:42.14:02,974.818,977.15,-303.1215
391,4.0625,00:34:42.14:03,974.7819999999999,977.122,-303.084
392,4.07292,00:34:42.15:00,974.7235,977.1015,-303.061
393,4.08333,00:34:42.15:01,974.7035,977.068,-303.031
394,4.09375,00:34:42.15:02,974.675,977.0485,-303.001
395,4.10417,00:34:42.15:03,974.6635,977.0089999999999,-302.971
396,4.11458,00:34:42.16:00,974.6115,976.9775,-302.92400000000004
397,4.125,00:34:42.16:01,974.5985,976.916,-302.878
398,4.13542,00:34:42.16:02,974.6310000000001,976.868,-302.83
399,4.14583,00:34:42.16:03,974.6289999999999,976.8095,-302.789
400,4.15625,00:34:42.17:00,974.596,976.748,-302.735
401,4.16667,00:34:42.17:01,974.5815,976.6965,-302.6965
402,4.17708,00:34:42.17:02,974.5965,976.6560000000001,-302.6375
403,4.1875,00:34:42.17:03,974.6115,976.5995,-302.578
404,4.19792,00:34:42.18:00,974.5865,976.5715,-302.5115
405,4.20833,00:34:42.18:01,974.6185,976.5395,-302.4655
406,4.21875,00:34:42.18:02,974.586,976.5039999999999,-302.411
407,4.22917,00:34:42.18:03,974.5935,976.482,-302.3655
