Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
270,2.80208,00:34:41.09:02,953.1705,417.7635,-195.7255
271,2.8125,00:34:41.09:03,953.238,417.7695,-195.7235
272,2.82292,00:34:41.10:00,953.305,417.7505,-195.706
273,2.83333,00:34:41.10:01,953.3685,417.744,-195.688
274,2.84375,00:34:41.10:02,953.4385,417.7425,-195.6875
275,2.85417,00:34:41.10:03,953.5015,417.744,-195.6665
276,2.86458,00:34:41.11:00,953.5415,417.76,-195.666
277,2.875,00:34:41.11:01,953.576,417.75,-195.6545
278,2.88542,00:34:41.11:02,953.5995,417.74800000000005,-195.632
279,2.89583,00:34:41.11:03,953.6139999999999,417.7535,-195.62599999999998
280,2.90625,00:34:41.12:00,953.6339999999999,417.7495,-195.59400000000002
281,2.91667,00:34:41.12:01,953.64,417.7525,-195.5805
282,2.92708,00:34:41.12:02,953.6469999999999,417.7465,-195.5725
283,2.9375,00:34:41.12:03,953.6460000000001,417.7485,-195.545
284,2.94792,00:34:41.13:00,953.638,417.7455,-195.5365
285,2.95833,00:34:41.13:01,953.6339999999999,417.746,-195.5195
286,2.96875,00:34:41.13:02,953.64,417.7535,-195.511
287,2.97917,00:34:41.13:03,953.627,417.7555,-195.488
288,2.98958,00:34:41.14:00,953.6335,417.7505,-195.4665
289,3.0,00:34:41.14:01,953.6260000000001,417.7495,-195.449
290,3.01042,00:34:41.14:02,953.6185,417.7355,-195.4285
291,3.02083,00:34:41.14:03,953.615,417.736,-195.4215
292,3.03125,00:34:41.15:00,953.6035,417.7405,-195.416
293,3.04167,00:34:41.15:01,953.6085,417.75300000000004,-195.408
294,3.05208,00:34:41.15:02,953.6015,417.765,-195.39700000000002
295,3.0625,00:34:41.15:03,953.6025,417.7715,-195.385
296,3.07292,00:34:41.16:00,953.585,417.7745,-195.38299999999998
297,3.08333,00:34:41.16:01,953.6010000000001,417.7775,-195.372
298,3.09375,00:34:41.16:02,953.6045,417.772,-195.365
299,3.10417,00:34:41.16:03,953.6175,417.77,-195.3515
300,3.11458,00:34:41.17:00,953.64,417.7775,-195.3405
301,3.125,00:34:41.17:01,953.6835,417.76300000000003,-195.335
302,3.13542,00:34:41.17:02,953.7289999999999,417.76,-195.3095
303,3.14583,00:34:41.17:03,953.7715,417.7585,-195.31
304,3.15625,00:34:41.18:00,953.8095,417.749,-195.3065
305,3.16667,00:34:41.18:01,953.8425,417.7585,-195.3025
306,3.17708,00:34:41.18:02,953.878,417.7515,-195.293
307,3.1875,00:34:41.18:03,953.8805,417.75300000000004,-195.301
308,3.19792,00:34:41.19:00,953.8860000000001,417.76599999999996,-195.313
309,3.20833,00:34:41.19:01,953.863,417.773,-195.328
310,3.21875,00:34:41.19:02,953.8430000000001,417.773,-195.3425
311,3.22917,00:34:41.19:03,953.808,417.7995,-195.34799999999998
312,3.23958,00:34:41.20:00,953.7645,417.8065,-195.3615
313,3.25,00:34:41.20:01,953.7545,417.8245,-195.365
314,3.26042,00:34:41.20:02,953.7445,417.82300000000004,-195.3765
315,3.27083,00:34:41.20:03,953.735,417.8265,-195.3735
316,3.28125,00:34:41.21:00,953.75,417.8185,-195.358
317,3.29167,00:34:41.21:01,953.7765,417.8155,-195.335
318,3.30208,00:34:41.21:02,953.7985,417.814,-195.3145
319,3.3125,00:34:41.21:03,953.8480000000001,417.81699999999995,-195.313
320,3.32292,00:34:41.22:00,953.8715,417.811,-195.2935
