Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
261,2.70833,00:34:41.07:01,922.3705,968.0105,119.8915
262,2.71875,00:34:41.07:02,922.3969999999999,968.0435,119.9315
263,2.72917,00:34:41.07:03,922.445,968.0525,119.95200000000001
264,2.73958,00:34:41.08:00,922.5195,968.038,119.971
265,2.75,00:34:41.08:01,922.5765,968.0419999999999,119.9625
266,2.76042,00:34:41.08:02,922.6610000000001,968.0155,119.93799999999999
267,2.77083,00:34:41.08:03,922.773,967.967,119.8865
268,2.78125,00:34:41.09:00,922.9185,967.915,119.8335
269,2.79167,00:34:41.09:01,923.0415,967.857,119.785
270,2.80208,00:34:41.09:02,922.8025,967.773,119.745
271,2.8125,00:34:41.09:03,922.956,967.699,119.6625
272,2.82292,00:34:41.10:00,923.1455,967.6339999999999,119.57700000000001
273,2.83333,00:34:41.10:01,923.2810000000001,967.5615,119.4855
274,2.84375,00:34:41.10:02,923.4680000000001,967.5145,119.3895
275,2.85417,00:34:41.10:03,923.6555,967.454,119.2625
276,2.86458,00:34:41.11:00,923.9265,967.424,119.125
277,2.875,00:34:41.11:01,924.1085,967.3760000000001,119.0055
278,2.88542,00:34:41.11:02,924.3195,967.3325,118.9005
279,2.89583,00:34:41.11:03,924.5355,967.2905,118.8
280,2.90625,00:34:41.12:00,924.732,967.2435,118.71700000000001
281,2.91667,00:34:41.12:01,924.8975,967.194,118.65
282,2.92708,00:34:41.12:02,925.15,967.181,118.5665
283,2.9375,00:34:41.12:03,925.332,967.1465,118.49799999999999
284,2.94792,00:34:41.13:00,925.53,967.113,118.4375
285,2.95833,00:34:41.13:01,925.691,967.055,118.3995
286,2.96875,00:34:41.13:02,925.873,967.0025,118.3535
287,2.97917,00:34:41.13:03,926.0445,966.927,118.316
288,2.98958,00:34:41.14:00,926.255,966.8585,118.27600000000001
289,3.0,00:34:41.14:01,926.4225,966.747,118.2745
290,3.01042,00:34:41.14:02,926.6055,966.6315,118.2215
291,3.02083,00:34:41.14:03,926.9205,966.4939999999999,118.126
292,3.03125,00:34:41.15:00,927.1560000000001,966.383,118.061
293,3.04167,00:34:41.15:01,927.451,966.2805,117.9795
294,3.05208,00:34:41.15:02,927.6965,966.182,117.8875
295,3.0625,00:34:41.15:03,927.9195,966.0685,117.8195
296,3.07292,00:34:41.16:00,928.311,965.9960000000001,117.67200000000001
297,3.08333,00:34:41.16:01,928.7230000000001,965.8945,117.4755
298,3.09375,00:34:41.16:02,929.755,965.7510000000001,116.8265
299,3.10417,00:34:41.16:03,930.002,965.6595,116.7115
300,3.11458,00:34:41.17:00,930.2945,965.5765,116.584
301,3.125,00:34:41.17:01,930.56,965.4925,116.448
302,3.13542,00:34:41.17:02,930.8665,965.4155,116.31200000000001
303,3.14583,00:34:41.17:03,931.1315,965.336,116.1975
304,3.15625,00:34:41.18:00,931.38,965.2655,116.11399999999999
305,3.16667,00:34:41.18:01,931.5355,965.201,116.0475
306,3.17708,00:34:41.18:02,931.7185,965.1755,115.9985
307,3.1875,00:34:41.18:03,931.846,965.15,115.9725
308,3.19792,00:34:41.19:00,931.955,965.15,115.9565
309,3.20833,00:34:41.19:01,932.0455,965.15,115.96799999999999
310,3.21875,00:34:41.19:02,932.1139999999999,965.169,115.978
311,3.22917,00:34:41.19:03,932.1925,965.172,115.993
312,3.23958,00:34:41.20:00,932.2289999999999,965.1945,116.001
313,3.25,00:34:41.20:01,932.2995,965.183,116.0175
314,3.26042,00:34:41.20:02,932.345,965.159,116.0195
315,3.27083,00:34:41.20:03,932.4545,965.1375,116.012
